zip code,location,latitude,longitude
10452,POINT (-73.92589 40.846565),40.846565, -73.92589
11207,POINT (-73.91907 40.687782),40.687782, -73.91907
11101,POINT (-73.94424 40.752106),40.752106, -73.94424
11414,POINT (-73.85333 40.66015),40.66015, -73.85333
11433,POINT (-73.78456 40.69733),40.69733, -73.78456
11422:11434,POINT (-73.78808 40.666546),40.666546, -73.78808
10453,POINT (-73.916885 40.8452),40.8452, -73.916885
10453,POINT (-73.907295 40.844883),40.844883, -73.907295
11224-4003,POINT (-73.96011 40.584774),40.584774, -73.96011
11374-2756,POINT (-73.87034 40.73204),40.73204, -73.87034
11420,POINT (-73.83478 40.666435),40.666435, -73.83478
11432,POINT (-73.80889 40.715927),40.715927, -73.80889
10472,POINT (-73.88003 40.8233),40.8233, -73.88003
10035,POINT (-73.93515 40.831978),40.831978, -73.93515
10454,POINT (-73.92331 40.805073),40.805073, -73.92331
11249,POINT (-73.9607 40.709442),40.709442, -73.9607
10454,POINT (-73.92856 40.809048),40.809048, -73.92856
11204,POINT (-74.01865 40.62707),40.62707, -74.01865
10464,POINT (-73.801094 40.865612),40.865612, -73.801094
10474,POINT (-73.890656 40.820145),40.820145, -73.890656
11415,POINT (-73.83202 40.7179),40.7179, -73.83202
11432,POINT (-73.82019 40.716824),40.716824, -73.82019
10460,POINT (-73.88596 40.84046),40.84046, -73.88596
111354,POINT (-73.84116 40.74197),40.74197, -73.84116
11420,POINT (-73.81525 40.66605),40.66605, -73.81525
10024,POINT (-73.984116 40.785492),40.785492, -73.984116
10035,POINT (-73.93765 40.788906),40.788906, -73.93765
10033,POINT (-73.925446 40.845657),40.845657, -73.925446
11211,POINT (-73.92782 40.728855),40.728855, -73.92782
10460,POINT (-73.87135 40.836555),40.836555, -73.87135
11378,POINT (-73.91835 40.735413),40.735413, -73.91835
11211,POINT (-73.95185 40.715473),40.715473, -73.95185
11385,POINT (-73.88147 40.69231),40.69231, -73.88147
11411,POINT (-73.72899 40.712727),40.712727, -73.72899
10452,POINT (-73.93096 40.835384),40.835384, -73.93096
10457,POINT (-73.8978 40.843956),40.843956, -73.8978
10302,POINT (-74.145775 40.624958),40.624958, -74.145775
11103,POINT (-73.91608 40.7699),40.7699, -73.91608
11411,POINT (-73.72728 40.69078),40.69078, -73.72728
11205,POINT (-73.9694 40.69608),40.69608, -73.9694
